feature,importance_mean
feat_3,0.14930060702032194
feat_27,0.006835576669305832
feat_0,0.003985220374769028
feat_12,0.003694906307732859
feat_4,0.002665610979150168
feat_9,0.0024808656637635095
feat_36,0.0023752969121139888
feat_39,0.002322512536289234
feat_41,0.0022697281604644793
feat_23,0.0021905515967273305
feat_17,0.002084982845077832
feat_46,0.00205859065716546
feat_42,0.002005806281340694
feat_35,0.0019002375296911956
feat_11,0.0018474531538664296
feat_33,0.0016627078384798045
feat_16,0.0015043547110055178
feat_43,0.0015043547110055178
feat_29,0.0015043547110055178
feat_14,0.0014515703351807518
feat_44,0.0014515703351807296
feat_19,0.0013460015835312423
feat_10,0.0013196093956188704
feat_15,0.0012140406439693386
feat_18,0.0011876484560569556
feat_31,0.001134864080232212
feat_47,0.0010820797044074348
feat_13,0.0008709422011084378
feat_8,0.0007653734494589059
feat_24,0.0006861968857217904
feat_5,0.0006861968857217793
feat_45,0.0006598046978094074
feat_32,0.0006598046978093852
feat_25,0.0006334125098970244
feat_22,0.0006334125098970244
feat_37,0.0005014515703351541
feat_38,0.00047505938242277114
feat_20,0.0003430984428608785
feat_28,0.0003167062549485067
feat_7,0.00029031406703613485
feat_2,0.0002375296912113689
feat_26,0.00021113750329898595
feat_1,0.00015835312747424223
feat_6,0.00015835312747423114
feat_21,0.00013196093956185928
feat_49,2.6392187912349652e-05
feat_40,0.0
feat_34,-7.917656373715998e-05
feat_50,-0.00010556875164955404
feat_48,-0.00018474531538668071
feat_30,-0.0010292953285827467
